<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
TRNFP;D;23/10/25;00:00;1257.6;542697
TRNFP;D;24/10/25;00:00;1246;570753
TRNFP;D;25/10/25;00:00;1227.6;379242
TRNFP;D;28/10/25;00:00;1200.4;641002
TRNFP;D;29/10/25;00:00;1216;614795
TRNFP;D;30/10/25;00:00;1226.6;297216
TRNFP;D;31/10/25;00:00;1233;284006
TRNFP;D;01/11/25;00:00;1219.4;226671
TRNFP;D;02/11/25;00:00;1227.2;104650
TRNFP;D;04/11/25;00:00;1241.4;114518
TRNFP;D;06/11/25;00:00;1248;353970
TRNFP;D;07/11/25;00:00;1258.8;449673
TRNFP;D;08/11/25;00:00;1267.8;284944
TRNFP;D;09/11/25;00:00;1268.8;23134
TRNFP;D;10/11/25;00:00;1268.6;13477
TRNFP;D;11/11/25;00:00;1264.2;463996
TRNFP;D;12/11/25;00:00;1276.2;267771
TRNFP;D;13/11/25;00:00;1260.2;269463
TRNFP;D;14/11/25;00:00;1263;297270
TRNFP;D;15/11/25;00:00;1258;426524
TRNFP;D;16/11/25;00:00;1256.6;9914
